data_entrada_brasil;data_cadastro;dif_dtcad_dtingr_meses;sexo;fx_etaria;pais_origem;distrito_moradia;regiao;condicoes_moradia;cidade_ingresso;cor_raca;escolaridade;situacao_migratoria;fonte_renda;sabendo_crai;demanda_1
05/06/2017;08/06/2017;0;Masculino;30 a 39 anos;Angola;Santana;norte;Ocupação;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
19/12/2016;08/06/2017;5;Masculino;18 a 29 anos;Angola;Itaquera;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
08/04/2016;09/06/2017;14;Masculino;18 a 29 anos;Angola;Guaianases;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Amigos ou parentes;Regularização migratória
26/01/2017;09/06/2017;4;Feminino;18 a 29 anos;Angola;Itaquera;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Reinserção no mercado de trabalho
08/06/2017;12/06/2017;0;Feminino;30 a 39 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino superior completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
11/06/2017;12/06/2017;0;Masculino;18 a 29 anos;Angola;Sapopemba;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
27/05/2015;12/06/2017;24;Masculino;30 a 39 anos;Angola;Artur Alvim;leste ;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
11/06/2017;12/06/2017;0;Feminino;18 a 29 anos;Angola;Itaquera;leste;Igreja ou Instituição religiosa;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
11/06/2017;12/06/2017;0;Masculino;30 a 39 anos;Angola;Itaquera;leste;Igreja ou Instituição religiosa;Guarulhos;Preta;Ensino superior completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
08/06/2017;13/06/2017;0;Masculino;18 a 29 anos;Angola;Itaquera;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Outros;Vaga em Centro de Acolhida
11/06/2017;13/06/2017;0;Feminino;30 a 39 anos;Angola;Campo Limpo;sul;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
11/06/2017;13/06/2017;0;Masculino;0 a 11 anos;Angola;Campo Limpo;sul;Casa de parente ou amigo;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
06/12/2015;14/06/2017;18;Feminino;18 a 29 anos;Angola;Itaquera;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto permanente;Desempregado;Amigos ou parentes;Regularização migratória
08/06/2017;14/06/2017;0;Feminino;18 a 29 anos;Angola;Vila Matilde;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino superior incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
11/06/2017;19/06/2017;0;Feminino;18 a 29 anos;Angola;Pari;leste;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
11/06/2017;19/06/2017;0;Feminino;18 a 29 anos;Angola;Bela Vista;centro;Em situação de rua;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
15/06/2017;19/06/2017;0;Feminino;30 a 39 anos;Angola;Guaianases;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
15/06/2017;19/06/2017;0;Feminino;0 a 11 anos;Angola;Guaianases;leste;Casa de parente ou amigo;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
17/06/2017;19/06/2017;0;Masculino;18 a 29 anos;Angola;Guaianases;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
06/08/2016;19/06/2017;10;Masculino;30 a 39 anos;Angola;Liberdade;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Trabalhador CLT;Amigos ou parentes;Vaga em Centro de Acolhida
18/06/2017;19/06/2017;0;Masculino;40 a 49 anos;Angola;Brás;leste;Igreja ou Instituição religiosa;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
14/02/2017;20/06/2017;4;Masculino;30 a 39 anos;Angola;Liberdade;centro;Centro de Acolhida;Guarulhos;Preta;Ensino superior completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
11/06/2017;20/06/2017;0;Masculino;30 a 39 anos;Angola;Bela Vista;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
12/06/2017;20/06/2017;0;Feminino;18 a 29 anos;Angola;Liberdade;centro;Igreja ou Instituição religiosa;Guarulhos;Preta;Ensino superior incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
11/06/2017;20/06/2017;0;Masculino;30 a 39 anos;Angola;Bela Vista;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
17/03/2016;21/06/2017;15;Feminino;18 a 29 anos;Angola;Bela Vista;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio incompleto;Visto permanente;Desempregado;Amigos ou parentes;Demandas diversas
29/01/2009;21/06/2017;100;Feminino;40 a 49 anos;Angola;Butantã;oeste;Casa própria;Guarulhos;Preta;Ensino médio completo;Visto permanente;Trabalhador autônomo;Amigos ou parentes;Regularização migratória
16/10/2013;21/06/2017;44;Masculino;30 a 39 anos;Angola;Capão Redondo;sul;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto permanente;Trabalhador CLT;Outros;Regularização migratória
11/06/2017;21/06/2017;0;Feminino;30 a 39 anos;Angola;Vila Mariana;sul;Centro de Acolhida;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
17/06/2017;21/06/2017;0;Masculino;12 a 17 anos;Angola;Santana;norte;Ocupação;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Não se aplica - criança/ adolescente;Amigos ou parentes;Regularização migratória
08/04/2017;22/06/2017;2;Masculino;18 a 29 anos;Angola;Artur Alvim;leste ;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
17/03/2016;22/06/2017;15;Feminino;18 a 29 anos;Angola;Artur Alvim;leste ;Aluguel ou pensão;Guarulhos;Preta;Ensino médio incompleto;Solicitante de refúgio;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Amigos ou parentes;Regularização migratória
12/06/2017;22/06/2017;0;Masculino;50 a 59 anos;Angola;Pari;leste;Centro de Acolhida;Guarulhos;Preta;Ensino superior incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
17/09/2016;22/06/2017;9;Feminino;30 a 39 anos;Angola;Itaquera;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio incompleto;Visto permanente;Desempregado;Serviço público;Regularização migratória
21/05/2017;22/06/2017;1;Masculino;30 a 39 anos;Angola;Ipiranga;sul;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
15/11/2016;22/06/2017;7;Masculino;30 a 39 anos;Angola;Vila Matilde;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
15/08/2015;23/06/2017;22;Feminino;0 a 11 anos;Angola;Itaquera;leste;Aluguel ou pensão;Guarulhos;Preta;Não frequentou escola;Visto permanente;Não se aplica - criança/ adolescente;Amigos ou parentes;Documentos
15/08/2015;23/06/2017;22;Masculino;30 a 39 anos;Angola;Itaquera;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto permanente;Trabalhador CLT;Amigos ou parentes;Demandas diversas
11/06/2017;26/06/2017;0;Feminino;18 a 29 anos;Angola;Outro Município;Outro Município;Em situação de rua;Guarulhos;Preta;Ensino superior completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
10/02/2016;26/06/2017;16;Masculino;50 a 59 anos;Angola;Outro Município;Outro Município;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;26/06/2017;0;Feminino;12 a 17 anos;Angola;Sé;centro;Hotel;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
01/06/2017;26/06/2017;0;Masculino;0 a 11 anos;Angola;Outro Município;Outro Município;Casa de parente ou amigo;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Não se aplica - criança/ adolescente;Amigos ou parentes;Regularização migratória
01/06/2017;26/06/2017;0;Feminino;0 a 11 anos;Angola;Outro Município;Outro Município;Casa de parente ou amigo;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Não se aplica - criança/ adolescente;Amigos ou parentes;Regularização migratória
18/01/2016;26/06/2017;17;Feminino;0 a 11 anos;Angola;República;centro;Ocupação;Guarulhos;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não se aplica - criança/ adolescente;Amigos ou parentes;Regularização migratória
17/06/2016;26/06/2017;12;Masculino;40 a 49 anos;Angola;Santana;norte;Aluguel ou pensão;Guarulhos;Preta;Ensino superior completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;26/06/2017;0;Masculino;18 a 29 anos;Angola;Outro Município;Outro Município;Outros;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
18/01/2016;26/06/2017;17;Masculino;0 a 11 anos;Angola;República;centro;Ocupação;Guarulhos;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não se aplica - criança/ adolescente;Amigos ou parentes;Regularização migratória
26/06/2017;27/06/2017;0;Masculino;40 a 49 anos;Angola;Tatuapé;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino superior completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;27/06/2017;0;Feminino;30 a 39 anos;Angola;Tatuapé;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;27/06/2017;0;Masculino;0 a 11 anos;Angola;Tatuapé;leste;Casa de parente ou amigo;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;27/06/2017;0;Feminino;0 a 11 anos;Angola;Tatuapé;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino fundamental incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
20/02/2015;28/06/2017;28;Feminino;18 a 29 anos;Angola;Belém;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Trabalhador CLT;Instituições ou organizações;Regularização migratória
27/06/2017;28/06/2017;0;Masculino;30 a 39 anos;Angola;Santana;norte;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
17/06/2017;28/06/2017;0;Masculino;30 a 39 anos;Angola;Brás;leste;Igreja ou Instituição religiosa;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
26/06/2017;28/06/2017;0;Feminino;40 a 49 anos;Angola;Lapa;oeste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;28/06/2017;0;Feminino;0 a 11 anos;Angola;Lapa;oeste;Casa de parente ou amigo;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Não se aplica - criança/ adolescente;Amigos ou parentes;Regularização migratória
20/11/2015;28/06/2017;19;Feminino;30 a 39 anos;Angola;Vila Prudente;leste;Centro de Acolhida;Guarulhos;Preta;Ensino médio incompleto;Visto permanente;Desempregado;Amigos ou parentes;Documentos
06/04/2017;29/06/2017;2;Feminino;40 a 49 anos;Angola;Bela Vista;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Reinserção no mercado de trabalho
10/06/2017;29/06/2017;0;Feminino;18 a 29 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;29/06/2017;0;Masculino;30 a 39 anos;Angola;República;centro;Ocupação;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;29/06/2017;0;Feminino;18 a 29 anos;Angola;República;centro;Ocupação;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;29/06/2017;0;Masculino;0 a 11 anos;Angola;República;centro;Ocupação;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Não se aplica - criança/ adolescente;Amigos ou parentes;Regularização migratória
22/04/2016;29/06/2017;14;Feminino;30 a 39 anos;Angola;Itaquera;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Amigos ou parentes;Regularização migratória
27/06/2017;29/06/2017;0;Masculino;18 a 29 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
08/05/2017;29/06/2017;1;Feminino;18 a 29 anos;Angola;Liberdade;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Reinserção no mercado de trabalho
29/06/2017;03/07/2017;0;Feminino;30 a 39 anos;Angola;Bela Vista;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
29/06/2017;03/07/2017;0;Masculino;0 a 11 anos;Angola;Bela Vista;centro;Centro de Acolhida;Guarulhos;Preta;Ensino fundamental incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
29/06/2017;03/07/2017;0;Feminino;0 a 11 anos;Angola;Bela Vista;centro;Centro de Acolhida;Guarulhos;Preta;Não frequentou escola;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;03/07/2017;0;Masculino;18 a 29 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;03/07/2017;0;Masculino;40 a 49 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino fundamental incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
27/06/2017;03/07/2017;0;Feminino;40 a 49 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
13/05/2017;03/07/2017;1;Masculino;30 a 39 anos;Angola;Santana;norte;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
26/06/2017;03/07/2017;0;Masculino;18 a 29 anos;Angola;Sapopemba;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
27/06/2017;03/07/2017;0;Masculino;18 a 29 anos;Angola;Sapopemba;leste;Casa de parente ou amigo;Rio de Janeiro;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
29/06/2017;03/07/2017;0;Feminino;18 a 29 anos;Angola;Belém;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
06/03/2016;03/07/2017;15;Feminino;30 a 39 anos;Angola;Penha;leste;Aluguel ou pensão;Rio de Janeiro;Preta;Ensino médio completo;Solicitante de refúgio;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Amigos ou parentes;Regularização migratória
17/06/2017;03/07/2017;0;Masculino;30 a 39 anos;Angola;Penha;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
06/03/2016;03/07/2017;15;Feminino;0 a 11 anos;Angola;Penha;leste;Casa de parente ou amigo;Rio de Janeiro;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
06/03/2016;03/07/2017;15;Masculino;0 a 11 anos;Angola;Penha;leste;Casa de parente ou amigo;Rio de Janeiro;Preta;Não frequentou escola;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
06/03/2016;03/07/2017;15;Feminino;0 a 11 anos;Angola;Penha;leste;Casa de parente ou amigo;Rio de Janeiro;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
27/06/2017;03/07/2017;0;Feminino;18 a 29 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
27/06/2017;03/07/2017;0;Feminino;30 a 39 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Não informado;Regularização migratória
24/06/2017;03/07/2017;0;Feminino;30 a 39 anos;Angola;Outro Município;Outro Município;Outros;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
26/06/2017;03/07/2017;0;Masculino;0 a 11 anos;Angola;Outro Município;Outro Município;Outros;Guarulhos;Preta;Ensino fundamental incompleto;Visto de turismo;Não se aplica - criança/ adolescente;Não informado;Vaga em Centro de Acolhida
08/05/2016;05/07/2017;13;Feminino;18 a 29 anos;Angola;Tatuapé;leste;Casa de parente ou amigo;Rio de Janeiro;Preta;Ensino médio incompleto;Solicitante de refúgio;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Amigos ou parentes;Documentos
06/07/2017;06/07/2017;0;Masculino;30 a 39 anos;Angola;Bela Vista;centro;Em situação de rua;Guarulhos;Preta;Ensino médio incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
23/01/2016;06/07/2017;17;Feminino;18 a 29 anos;Angola;Belém;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio incompleto;Solicitante de refúgio;Benefícios sociais (BPC, Bolsa família, Auxílio aluguel);Amigos ou parentes;Demandas diversas
18/10/2013;10/07/2017;44;Masculino;0 a 11 anos;Angola;Artur Alvim;leste ;Aluguel ou pensão;Guarulhos;Preta;Ensino fundamental incompleto;Outros;Não se aplica - criança/ adolescente;Amigos ou parentes;Demandas diversas
01/07/2017;11/07/2017;0;Masculino;30 a 39 anos;Angola;Artur Alvim;leste ;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
10/07/2017;11/07/2017;0;Masculino;40 a 49 anos;Angola;Bela Vista;centro;Em situação de rua;Guarulhos;Preta;Ensino médio incompleto;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
10/07/2017;11/07/2017;0;Masculino;40 a 49 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
02/03/2016;12/07/2017;16;Masculino;18 a 29 anos;Angola;Liberdade;centro;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Demandas diversas
05/01/2017;12/07/2017;6;Feminino;30 a 39 anos;Angola;Outro Município;Outro Município;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Instituições ou organizações;Regularização migratória
05/01/2017;12/07/2017;6;Feminino;0 a 11 anos;Angola;Outro Município;Outro Município;Casa de parente ou amigo;Guarulhos;Preta;Não frequentou escola;Indocumentado/ Irregular;Desempregado;Instituições ou organizações;Regularização migratória
31/12/2016;12/07/2017;6;Feminino;30 a 39 anos;Angola;Itaquera;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio incompleto;Visto permanente;Desempregado;Amigos ou parentes;Orientação jurídica
03/07/2017;12/07/2017;0;Feminino;40 a 49 anos;Angola;Sapopemba;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
10/07/2017;13/07/2017;0;Masculino;30 a 39 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
03/03/2016;13/07/2017;16;Feminino;18 a 29 anos;Angola;Outro Município;Outro Município;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
10/07/2017;14/07/2017;0;Masculino;50 a 59 anos;Angola;Outro Município;Outro Município;Aluguel ou pensão;Guarulhos;Preta;Ensino superior completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
10/07/2017;14/07/2017;0;Masculino;30 a 39 anos;Angola;Guaianases;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
27/06/2017;17/07/2017;0;Masculino;30 a 39 anos;Angola;Sé;centro;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
05/07/2017;17/07/2017;0;Masculino;18 a 29 anos;Angola;Sé;centro;Hotel;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
12/07/2017;18/07/2017;0;Masculino;40 a 49 anos;Angola;Santa Cecília;centro;Ocupação;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
07/10/2015;19/07/2017;21;Masculino;30 a 39 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Documentos
13/07/2017;19/07/2017;0;Feminino;30 a 39 anos;Angola;Pari;leste;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
13/03/2016;19/07/2017;16;Masculino;40 a 49 anos;Angola;Vila Guilherme;norte;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
26/01/2016;19/07/2017;17;Feminino;30 a 39 anos;Angola;José Bonifácio;leste;Aluguel ou pensão;Rio de Janeiro;Preta;Ensino médio completo;Visto permanente;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
24/03/2015;19/07/2017;27;Feminino;30 a 39 anos;Angola;Outro Município;Outro Município;Aluguel ou pensão;São Paulo;Preta;Ensino médio completo;Solicitante de refúgio;Desempregado;Amigos ou parentes;Regularização migratória
10/07/2017;20/07/2017;0;Feminino;18 a 29 anos;Angola;Pari;leste;Centro de Acolhida;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
18/07/2017;20/07/2017;0;Masculino;40 a 49 anos;Angola;Liberdade;centro;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
05/03/2016;21/07/2017;16;Feminino;18 a 29 anos;Angola;Santana;norte;Ocupação;Guarulhos;Preta;Ensino médio incompleto;Solicitante de refúgio;Trabalhador informal ou ambulante;Amigos ou parentes;Regularização migratória
18/07/2017;21/07/2017;0;Masculino;40 a 49 anos;Angola;Liberdade;centro;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
22/10/2015;21/07/2017;20;Masculino;40 a 49 anos;Angola;Belém;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino superior incompleto;Visto permanente;Trabalhador CLT;Amigos ou parentes;Regularização migratória
13/07/2017;21/07/2017;0;Feminino;40 a 49 anos;Angola;Itaquera;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
20/07/2017;24/07/2017;0;Masculino;50 a 59 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
17/07/2017;24/07/2017;0;Masculino;30 a 39 anos;Angola;Penha;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
22/07/2017;25/07/2017;0;Feminino;18 a 29 anos;Angola;Santana;norte;Ocupação;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
13/07/2017;25/07/2017;0;Feminino;18 a 29 anos;Angola;Artur Alvim;leste ;Aluguel ou pensão;Guarulhos;Preta;Ensino médio incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
15/01/2016;26/07/2017;18;Masculino;30 a 39 anos;Angola;Penha;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Solicitante de refúgio;Trabalhador CLT;Amigos ou parentes;Demandas diversas
25/07/2017;26/07/2017;0;Masculino;18 a 29 anos;Angola;Sé;centro;Hotel;Guarulhos;Preta;Ensino médio incompleto;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Vaga em Centro de Acolhida
25/07/2017;26/07/2017;0;Masculino;40 a 49 anos;Angola;Sapopemba;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Indocumentado/ Irregular;Desempregado;Amigos ou parentes;Regularização migratória
10/07/2017;31/07/2017;0;Feminino;40 a 49 anos;Angola;Itaquera;leste;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
24/07/2017;31/07/2017;0;Masculino;30 a 39 anos;Angola;Sapopemba;leste;Aluguel ou pensão;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
24/07/2017;31/07/2017;0;Masculino;30 a 39 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino superior incompleto;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
24/07/2017;31/07/2017;0;Feminino;18 a 29 anos;Angola;Artur Alvim;leste ;Casa de parente ou amigo;Guarulhos;Preta;Ensino médio completo;Visto de turismo;Desempregado;Amigos ou parentes;Regularização migratória
